year;region;region_oktmo;city;city_oktmo;air_general_level;air_standard_index;air_repeatability;air_qcp;air_solid_emissions;air_so_emissions;air_no_emissions;air_co_emissions;air_population;air_stantions
2014;Орловская область;54000000;ОРЕЛ;54701000;2;No substance;No substance;BB, NO2, Фенол;0.04;0.13;4.5;23.7;317.0;4
2014;Пензенская область;56000000;ПЕНЗА;56701000;2;No substance;No substance;Ф, НCl;1.4;0.18;5.24;23.0;521.3;4
2014;Пермский край;57000000;БЕРЕЗНИКИ;57708000;1;No substance;No substance;NO2;0.02;0.6;4.1;17.6;153.0;4
2014;Пермский край;57000000;ГУБАХА;57516000;1;No substance;No substance;БП;-9.0;0.55;1.8;2.8;36.4;2
2014;Пермский край;57000000;ПЕРМЬ;57701000;2;HCl;No substance;No substance;1.6;4.2;18.8;84.2;992.0;7
2014;Пермский край;57000000;СОЛИКАМСК;57730000;1;No substance;No substance;Ф;0.9;0.25;1.7;2.5;102.8;5
2014;Приморский край;05000000;АРТЕМ;05705000;1;No substance;No substance;NO2;13.7;7.6;5.9;8.6;111.8;1
2014;Приморский край;05000000;БОЛЬШОЙ КАМЕНЬ;05706000;-9;No substance;No substance;ВВ;-9.0;-9.0;-9.0;-9.0;40.5;1
2014;Приморский край;05000000;ВЛАДИВОСТОК;05701000;2;No substance;No substance;NO, NO2;3.9;4.2;7.5;42.3;630.0;6
2014;Приморский край;05000000;ДАЛЬНЕГОРСК;05707000;1;No substance;No substance;No substance;0.5;1.5;0.7;3.8;44.5;1
2014;Приморский край;05000000;НАХОДКА;05714000;-9;No substance;No substance;No substance;1.4;3.6;1.9;11.1;157.4;1
2014;Приморский край;05000000;ПАРТИЗАНСК;05717000;1;No substance;No substance;БП;5.2;2.2;2.7;3.6;45.6;1
2014;Приморский край;05000000;СПАССК-ДАЛЬНИЙ;05720000;-9;No substance;No substance;No substance;1.2;0.7;1.1;4.8;42.5;1
2014;Приморский край;05000000;УССУРИЙСК;05723000;3;No substance;No substance;ВВ, NO2, БП;2.5;2.9;2.85;16.6;192.8;1
2014;Псковская область;58000000;ВЕЛИКИЕ ЛУКИ;58710000;-9;No substance;No substance;NO2;0.26;0.49;1.1;8.2;96.5;1
2014;Псковская область;58000000;ПСКОВ;58701000;1;No substance;No substance;NO2;0.27;0.18;2.2;15.9;206.7;1
2014;Республика Башкортостан;80000000;БЛАГОВЕЩЕНСК;80615101;1;No substance;No substance;No substance;0.2;0.12;1.2;5.1;34.9;2
2014;Республика Башкортостан;80000000;САЛАВАТ;80739000;1;No substance;No substance;NO2;0.9;11.6;9.6;12.4;154.6;3
2014;Республика Башкортостан;80000000;СТЕРЛИТАМАК;80745000;2;No substance;No substance;БП;3.7;0.2;6.5;48.4;277.1;5
2014;Республика Башкортостан;80000000;ТУЙМАЗЫ;80651101;1;No substance;No substance;ВВ;0.25;0.12;1.0;11.9;67.6;1
2014;Республика Башкортостан;80000000;УФА;80701000;2;NO2;No substance;NO2, БП;1.9;24.0;21.2;79.1;1106.6;8
2014;Республика Бурятия;81000000;ГУСИНООЗЕРСК;81648101;1;No substance;No substance;ВВ;9.5;28.8;9.1;0.6;23.4;1+эп
2014;Республика Бурятия;81000000;ЕРМАКОВСКОЕ;00000000;-9;No substance;No substance;No substance;-9.0;-9.0;-9.0;-9.0;-9.0;эп
2014;Республика Бурятия;81000000;КЯХТА;81633101;1;No substance;No substance;ВВ;0.2;0.07;0.03;0.5;20.1;1
2014;Республика Бурятия;81000000;НАЗАРОВСКОЕ;00000000;-9;No substance;No substance;No substance;-9.0;-9.0;-9.0;-9.0;-9.0;эп
2014;Республика Бурятия;81000000;ОЗЕРНОЕ;81215855;-9;No substance;No substance;No substance;-9.0;-9.0;-9.0;-9.0;-9.0;эп
2014;Республика Бурятия;81000000;САГАН-НУР;81636442;-9;No substance;No substance;No substance;-9.0;-9.0;-9.0;-9.0;6.0;эп
2014;Республика Бурятия;81000000;СЕЛЕНГИНСК;81624163;4;БП;No substance;ВВ, БП;1.2;0.8;0.05;0.7;14.1;2
2014;Республика Бурятия;81000000;УЛАН-УДЭ;81701000;4;БП;No substance;ВВ, БП, NO2, О3, Ф;7.7;7.0;6.5;31.6;421.4;3
2014;Республика Дагестан;82000000;МАХАЧКАЛА;82701000;3;No substance;63 ВВ, ст. 4;ВВ, NO2, НF, БП;0.8;0.2;2.7;21.1;578.3;3
2014;Республика Карелия;86000000;КОНДОПОГА;86615101;-9;No substance;No substance;No substance;-9.0;-9.0;-9.0;-9.0;31.6;1
2014;Республика Карелия;86000000;НАДВОИЦЫ;86645160;1;No substance;No substance;No substance;-9.0;-9.0;-9.0;-9.0;8.1;1
2014;Республика Карелия;86000000;ПЕТРОЗАВОДСК;86701000;1;No substance;No substance;ВВ, БП;0.4;0.5;3.1;17.1;272.1;1
2014;Республика Коми;87000000;ВОРКУТА;87710000;1;No substance;No substance;NO;22.0;24.7;5.8;5.6;84.7;2
2014;Республика Коми;87000000;СОСНОГОРСК;87626122;-9;No substance;No substance;No substance;1.0;0.3;2.3;29.0;45.7;1
2014;Республика Коми;87000000;СЫКТЫВКАР;87701000;1;No substance;No substance;БП;0.9;0.4;6.5;21.5;257.9;4
2014;Республика Коми;87000000;УХТА;87725000;1;No substance;No substance;No substance;0.61;0.14;2.9;12.5;120.8;2
2014;Республика Крым;35000000;АРМЯНСК;35706000;3;No substance;No substance;ВВ, NO2, HF;-9.0;-9.0;-9.0;-9.0;25.6;2
2014;Республика Крым;35000000;КЕРЧЬ;35715000;1;No substance;No substance;NO2;-9.0;-9.0;-9.0;-9.0;147.0;2
2014;Республика Крым;35000000;КРАСНОПЕРЕКОПСК;35718000;3;No substance;No substance;ВВ, NO2, SO2, HF;-9.0;-9.0;-9.0;-9.0;29.7;2
2014;Республика Крым;35000000;СИМФЕРОПОЛЬ;35701000;1;No substance;No substance;No substance;-9.0;-9.0;-9.0;-9.0;350.6;3
2014;Республика Крым;35000000;ЯЛТА;35729000;2;No substance;No substance;ВВ, NO2;-9.0;-9.0;-9.0;-9.0;133.6;1
2014;Республика Мордовия;89000000;САРАНСК;89701000;2;No substance;No substance;БП, NO2, Ф;1.5;0.25;3.3;18.2;327.5;4
2014;Республика Саха (Якутия);98000000;МИРНЫЙ;98631101;1;No substance;No substance;ВВ;0.8;0.27;6.4;11.3;34.9;1
2014;Республика Саха (Якутия);98000000;НЕРЮНГРИ;98660101;2;No substance;No substance;Ф;3.8;0.2;4.0;8.1;60.0;2
2014;Республика Саха (Якутия);98000000;УСТЬ-НЕРА;98639151;-9;No substance;No substance;No substance;-9.0;-9.0;-9.0;-9.0;5.8;1
2014;Республика Саха (Якутия);98000000;ЯКУТСК;98701000;1;No substance;No substance;ВВ;0.3;0.2;7.6;25.5;286.5;3
2014;Республика Северная Осетия – Алания;90000000;ВЛАДИКАВКАЗ;90701000;3;No substance;No substance;NO2, БП, Свинец, Медь;0.2;0.3;6.7;64.9;307.3;2+7
2014;Республика Татарстан;92000000;КАЗАНЬ;92701000;2;No substance;No substance;РМ 2.5, БП;1.34;0.54;11.8;64.8;1190.9;10
2014;Республика Татарстан;92000000;НАБЕРЕЖНЫЕ ЧЕЛНЫ;92730000;2;БП;No substance;Ф, БП;1.6;0.6;7.4;31.9;522.1;2+4м
2014;Республика Татарстан;92000000;НИЖНЕКАМСК;92644101;2;No substance;No substance;Ф;2.1;7.3;12.2;7.1;235.6;1+5м
2014;Республика Тыва;93000000;КЫЗЫЛ;93701000;4;БП;No substance;БП;1.7;1.2;0.91;7.2;113.9;3
2014;Республика Хакасия;95000000;АБАКАН;95701000;3;БП;No substance;БП;1.1;3.5;3.6;10.5;173.2;2
2014;Республика Хакасия;95000000;САЯНОГОРСК;95708000;2;No substance;No substance;БП;5.6;9.3;1.8;26.4;62.0;1
2014;Республика Хакасия;95000000;ЧЕРНОГОРСК;95715000;4;БП;No substance;БП;2.1;1.4;0.9;15.4;75.7;1
2014;Ростовская область;60000000;АЗОВ;60704000;2;No substance;No substance;ВВ, NO2;0.14;0.06;0.12;0.4;83.1;2
2014;Ростовская область;60000000;ВОЛГОДОНСК;60712000;1;No substance;No substance;Ф;0.3;0.14;1.9;9.3;169.1;2
